#{"t_start": 1725118723.6712098, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.125913
-200.0,200,0.243848
-200.0,200,0.344872
-200.0,200,0.442683
-200.0,200,0.540594
-200.0,200,0.638387
-200.0,200,0.736173
-200.0,200,0.834488
-200.0,200,0.932666
-200.0,200,1.030491
-200.0,200,17.056342
-200.0,200,17.174075
-200.0,200,17.292632
-200.0,200,17.410192
-200.0,200,17.528155
-200.0,200,17.645509
-200.0,200,17.763298
-200.0,200,17.881277
-200.0,200,17.998911
-200.0,200,18.116901
-200.0,200,33.9474
