#{"t_start": 1725175567.7601607, "env_id": "BipedalWalker-v3"}
r,l,t
-121.112042,88,0.177942
-102.119273,56,0.269635
-108.630119,38,0.332967
-109.218626,43,0.401762
-115.275279,1600,2.918518
-106.380896,1600,18.556887
-116.470795,1600,34.229565
-104.071652,1600,49.933928
-105.377092,70,50.050031
-113.644938,68,50.163567
-108.081573,53,50.255531
-101.926257,72,50.370357
-108.413591,48,50.448668
-117.456126,1600,66.000992
-85.968381,1600,68.56002
-119.169814,115,81.605192
-115.482632,47,81.685846
-105.960717,49,81.767451
-125.017994,107,81.944111
-106.846352,74,82.064739
-78.999522,1600,84.643394
-66.038842,1600,100.068194
-77.862014,1600,115.46928
-61.932754,1600,131.280135
-127.392273,131,131.490128
-64.407116,1600,147.319803
-107.191965,71,147.430595
-58.848341,1600,149.884285
-53.590945,1600,165.536493
-51.12483,1600,181.028969
-33.006119,1600,196.445589
-39.144311,1600,212.257824
-28.822364,1600,214.671117
-26.203917,1600,230.197782
-7.954494,1600,245.939024
-0.441469,1600,261.357048
11.807586,1600,263.749349
24.527069,1600,279.598522
26.54696,1600,295.565188
49.363842,1600,311.386826
52.161973,1600,327.072416
50.886929,1600,329.46907
44.271214,1600,345.310673
61.824106,1600,360.908326
59.486929,1600,376.454029
82.549699,1600,378.797211
83.988556,1600,394.245179
