#{"t_start": 1725175567.7558827, "env_id": "BipedalWalker-v3"}
r,l,t
-102.10194,110,0.219929
-115.617326,55,0.310598
-113.021621,1600,2.825245
-113.220173,1600,18.465166
-111.407828,1600,34.131635
-100.432411,1600,49.840982
-115.89677,83,49.977902
-103.453763,60,50.075897
-120.660779,106,50.254447
-108.981688,68,50.363188
-98.817564,78,50.494772
-124.455539,211,50.836207
-102.632723,70,50.949759
-99.886318,1600,66.508646
-109.425355,91,66.65454
-105.41535,1600,82.076962
-78.125461,1600,84.655689
-71.800844,1600,100.080831
-102.538012,52,100.166992
-104.891134,68,100.279923
-71.067942,1600,115.670347
-114.662032,67,115.781155
-111.758915,66,115.888566
-69.19946,1600,131.691201
-75.148478,1600,147.518709
-59.976504,1600,149.974569
-44.357755,1600,165.627
-58.111695,1600,181.118696
-51.128498,1600,196.533848
-48.278078,1600,212.347558
-18.240305,1600,214.760886
-25.137965,1600,230.286328
-111.185968,53,230.37428
-8.030525,1600,246.113931
1.611319,1600,261.530829
26.891853,1600,277.108027
7.738165,1600,279.804481
25.857203,1600,295.736507
54.394979,1600,311.559381
37.480249,1600,327.242687
48.698627,1600,329.641316
46.01894,1600,345.47992
72.93755,1600,361.076741
82.155762,1600,376.621162
98.162263,1600,392.068541
104.438269,1600,394.413833
