#{"t_start": 1717424789.389769, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.026928
49.0,49,0.072806
19.0,19,0.091754
25.0,25,0.11569
60.0,60,0.173536
15.0,15,0.188496
13.0,13,0.200464
36.0,36,0.231381
19.0,19,0.246341
14.0,14,0.257312
16.0,16,0.270277
42.0,42,0.30319
13.0,13,0.313163
12.0,12,0.322139
27.0,27,0.343084
27.0,27,0.36303
20.0,20,0.378988
19.0,19,0.393948
22.0,22,0.410903
13.0,13,0.420877
25.0,25,0.439825
16.0,16,0.452791
25.0,25,0.472737
33.0,33,0.498668
24.0,24,0.51662
13.0,13,0.526593
43.0,43,0.559505
17.0,17,0.572471
28.0,28,0.594411
13.0,13,0.604384
14.0,14,0.614357
42.0,42,0.647269
10.0,10,0.654251
15.0,15,0.666219
41.0,41,0.699131
69.0,69,0.751992
18.0,18,0.765954
45.0,45,0.799863
15.0,15,0.811831
26.0,26,0.831779
20.0,20,0.846738
17.0,17,0.859703
19.0,19,0.874663
18.0,18,0.888626
27.0,27,0.90957
17.0,17,0.922535
25.0,25,0.941484
12.0,12,0.951458
11.0,11,0.959437
20.0,20,0.975394
18.0,18,0.989357
19.0,19,1.004315
12.0,12,1.014288
14.0,14,1.024262
53.0,53,1.065152
14.0,14,1.075126
25.0,25,1.094075
30.0,30,1.118011
55.0,55,1.158902
16.0,16,1.17087
47.0,47,1.206774
33.0,33,1.233704
54.0,54,1.274594
11.0,11,1.28357
52.0,52,1.321469
28.0,28,1.342413
35.0,35,1.368343
16.0,16,1.380313
17.0,17,1.392279
18.0,18,1.406242
18.0,18,1.419208
16.0,16,1.431175
17.0,17,1.444141
19.0,19,1.458104
25.0,25,1.477053
53.0,53,1.515949
31.0,31,1.538888
23.0,23,1.555842
22.0,22,1.572797
13.0,13,1.581773
12.0,12,1.591746
17.0,17,1.604712
19.0,19,1.618675
17.0,17,3.220392
25.0,25,3.245325
22.0,22,3.266269
44.0,44,3.308158
73.0,73,3.375976
22.0,22,3.396921
38.0,38,3.429832
15.0,15,3.441801
24.0,24,3.46075
24.0,24,3.479699
18.0,18,3.493662
40.0,40,3.52458
29.0,29,3.547519
71.0,71,3.601375
12.0,12,3.610351
25.0,25,3.629299
32.0,32,3.654232
14.0,14,3.665203
18.0,18,3.678168
38.0,38,3.707091
38.0,38,3.737011
44.0,44,3.769923
22.0,22,3.786878
18.0,18,3.80084
37.0,37,3.828766
22.0,22,3.84572
24.0,24,3.863672
22.0,22,3.880627
10.0,10,3.888606
12.0,12,3.897582
19.0,19,3.912542
16.0,16,3.92451
79.0,79,3.985347
28.0,28,4.008314
30.0,30,4.032224
12.0,12,4.041199
13.0,13,4.051173
25.0,25,4.069125
20.0,20,4.084085
17.0,17,4.09705
30.0,30,4.117994
15.0,15,4.133951
13.0,13,4.146916
16.0,16,4.161875
44.0,44,4.202796
17.0,17,4.218724
40.0,40,4.251635
32.0,32,4.280558
51.0,51,4.327433
29.0,29,4.354362
14.0,14,4.367356
38.0,38,4.401264
17.0,17,4.417221
22.0,22,4.437141
15.0,15,4.449108
37.0,37,4.47803
54.0,54,4.520916
20.0,20,4.536873
11.0,11,4.544852
27.0,27,4.566793
32.0,32,4.591727
15.0,15,4.603694
26.0,26,4.623641
59.0,59,4.672511
44.0,44,4.709412
55.0,55,4.75529
14.0,14,4.766261
21.0,21,4.784213
58.0,58,4.829093
17.0,17,4.845051
14.0,14,4.855024
23.0,23,4.872977
57.0,57,6.871633
17.0,17,6.890582
12.0,12,6.903548
11.0,11,6.915516
114.0,114,7.02622
59.0,59,7.081074
51.0,51,7.123959
21.0,21,7.139916
35.0,35,7.166845
52.0,52,7.205739
26.0,26,7.224689
14.0,14,7.234662
93.0,93,7.305473
72.0,72,7.358331
27.0,27,7.378278
34.0,34,7.404209
52.0,52,7.442107
40.0,40,7.472028
36.0,36,7.497959
37.0,37,7.526882
28.0,28,7.552814
25.0,25,7.581737
35.0,35,7.61365
23.0,23,7.636589
70.0,70,7.700419
35.0,35,7.730339
81.0,81,7.795164
85.0,85,7.859992
79.0,79,7.919832
63.0,63,7.966707
51.0,51,8.003608
25.0,25,8.024551
60.0,60,8.077411
66.0,66,8.132263
46.0,46,8.168167
59.0,59,8.213047
39.0,39,8.245959
53.0,53,8.28685
27.0,27,8.306826
91.0,91,8.376641
32.0,32,8.401573
27.0,27,8.42149
72.0,72,8.475346
9.0,9,8.482327
29.0,29,8.504269
73.0,73,10.210708
79.0,79,10.28451
47.0,47,10.328393
90.0,90,10.400232
31.0,31,10.42314
107.0,107,10.503924
18.0,18,10.516889
163.0,163,10.639561
111.0,111,10.721343
61.0,61,10.766223
140.0,140,10.868948
21.0,21,10.883908
89.0,89,10.95073
14.0,14,10.960703
109.0,109,11.047472
71.0,71,11.101327
11.0,11,11.109307
210.0,210,11.270875
14.0,14,11.281846
68.0,68,11.33271
133.0,133,11.434438
99.0,99,11.508241
34.0,34,11.535169
92.0,92,11.60598
138.0,138,11.710699
91.0,91,13.617601
216.0,216,13.808092
47.0,47,13.843996
147.0,147,13.95869
15.0,15,13.96966
154.0,154,14.082359
45.0,45,14.115271
