,0.1,0.2,0.3
0,2132.961181640625,5244.520924377442,-1030.3323045624998
1,2329.603759765625,5074.413813018799,-1013.42166647
2,2001.7364501953125,4237.91802444458,-1022.88208163
3,2348.24755859375,5249.867323303222,-1068.72598083
4,2007.5394287109373,4626.714902496338,-1088.63863765
5,2302.54736328125,4665.572512817383,-1058.0550565
6,1974.95556640625,4168.037282562256,-1084.1531015699998
7,1899.0108642578125,4227.129627227783,-1070.30860182
8,1581.3199462890625,3601.132962036133,-1102.99099877
9,1940.5751953125,4453.301165771484,-1149.21056229
10,1894.0565185546875,4024.802271270752,-1148.90889234
11,1574.325927734375,3364.3751152038576,-1089.5423271599998
12,1208.640380859375,2592.921532821655,-1072.35367934
13,1409.1134033203125,3286.0544105529784,-1078.72409137
14,1091.456298828125,2503.752653884888,-1077.4111738799998
15,1211.1114501953125,2580.0781063079835,-1064.38079939
16,960.086669921875,2281.332936096192,-1047.17737598
17,709.8771362304688,1853.6121772766116,-1066.16426558
18,1042.6319580078125,2427.809495544433,-1058.33897169
19,775.0563354492188,1608.1495014190673,-1061.95126833
20,1055.0499267578125,2205.218776702881,-1031.6063708299998
21,692.22607421875,1544.989661026001,-1004.34027683
22,687.021240234375,1482.4365222930908,-1038.46055964
23,606.8279418945312,1563.705126953125,-1057.27079331
24,642.3839721679688,1565.1765949249268,-1020.52105041
25,405.2647399902344,922.4767570495604,-1087.42335153
26,708.4671630859375,1501.0490951538086,-1046.6524043599995
27,271.7748413085937,757.358002281189,-1053.9076718
28,543.959716796875,1232.7753608703613,-1064.21782991
29,348.91656494140625,843.3616786956787,-1080.57206225
30,366.6087036132813,890.9687725067139,-1042.97953877
31,309.7648010253906,671.2875023841858,-1042.02045385
32,382.2822265625,818.3063457489013,-1072.95387328
33,342.0834350585937,655.4568535804749,-1053.41454024
34,314.7359313964844,709.9156744003296,-1074.18061441
35,297.0201416015625,607.9456243515015,-1020.56337976
36,155.75222778320312,306.83393144607544,-1028.82926502
37,240.65963745117188,438.57483253479006,-1032.46081786
38,186.06243896484372,482.4901407241821,-1070.78342099
39,205.29104614257807,478.7255846977234,-1055.38923677
40,182.035400390625,424.4445272445679,-1067.1985906400002
41,168.2090301513672,354.4694076061249,-1018.380253
42,121.27989959716795,246.5800759792328,-1013.6471916799998
43,180.4342803955078,368.58128728866575,-1034.07780235
44,139.40565490722656,279.023046875,-995.0005036
45,77.89276885986328,173.38454337120055,-942.26768309
46,124.64241027832033,252.11814532279968,-938.9346032
47,73.57611846923828,145.74832112789153,-946.51960964
48,56.00844192504883,123.57042462825775,-916.95781609
49,64.80706024169922,145.77149522304535,-905.9291315299998
50,44.76519393920898,119.43893220424653,-934.6133898399996
51,66.1046142578125,115.40128059387207,-941.65957822
52,39.43266677856445,93.69038462638856,-922.66991639
53,53.752220153808594,83.11294305324554,-866.44124995
54,37.16006851196289,56.225060504674914,-879.50056236
55,35.80450820922852,98.10661872625352,-879.8779023900001
56,33.2685546875,74.68010489940643,-902.06729658
57,28.39287757873535,65.68861101865768,-905.35457327
58,34.614891052246094,60.45461322069168,-888.2558207399998
59,25.866878509521484,55.92633566856384,-857.00926345
60,18.5155029296875,39.93476486802101,-837.6469087099999
