#{"t_start": 1725118723.6725442, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.124613
-200.0,200,0.242548
-200.0,200,0.343565
-200.0,200,0.441376
-200.0,200,0.539287
-200.0,200,0.637082
-200.0,200,0.734866
-200.0,200,0.833181
-200.0,200,0.931361
-200.0,200,1.029185
-200.0,200,17.055047
-200.0,200,17.172774
-200.0,200,17.291331
-200.0,200,17.408892
-200.0,200,17.526855
-200.0,200,17.644208
-200.0,200,17.761998
-200.0,200,17.879976
-200.0,200,17.997611
-200.0,200,18.115601
-200.0,200,33.946107
