#{"t_start": 1725118723.6698313, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.127257
-200.0,200,0.245192
-200.0,200,0.346221
-200.0,200,0.444034
-200.0,200,0.541937
-200.0,200,0.639738
-200.0,200,0.737523
-200.0,200,0.835839
-200.0,200,0.934006
-200.0,200,1.03184
-200.0,200,17.057681
-200.0,200,17.175416
-200.0,200,17.293976
-200.0,200,17.411537
-200.0,200,17.529499
-200.0,200,17.646854
-200.0,200,17.76464
-200.0,200,17.88262
-200.0,200,18.000256
-200.0,200,18.118245
-200.0,200,33.948738
