,0.1,0.2,0.3
0,3903.413818359375,7854.173551432292,-1156.53086387
1,3208.143147786458,6784.5091267903645,-1159.6833805533333
2,3242.90234375,6552.634688313802,-1138.8455400200003
3,3081.7007649739585,6436.625174967448,-1194.5125067033334
4,3230.262858072917,6820.324519856771,-1158.3939854900002
5,3028.3868001302085,6238.854333496094,-1189.30697336
6,3171.756998697917,6381.443168131511,-1132.3156816633332
7,2744.5465494791665,5786.460679117839,-1176.36641403
8,3091.4322102864585,6143.494160970052,-1220.4473011999999
9,3262.3361816406245,6467.651635742188,-1174.9823922766666
10,2998.921875,5934.6969828287765,-1173.3353168866665
11,2801.8923339843745,5796.387801106772,-1191.2591899800002
12,2833.623942057291,5882.633941650391,-1171.8430926666667
13,2808.016357421875,5650.407185872395,-1152.4150957166667
14,2687.279703776042,5450.897495524089,-1138.17778641
15,2737.5994466145835,5363.957979329427,-1157.44804961
16,2563.8689778645835,5344.562664794922,-1143.9706302366667
17,2482.880289713542,5150.50000406901,-1198.2488075733334
18,2806.8839518229165,5564.717358398438,-1148.4454651433334
19,2435.1705729166665,5111.625903320312,-1122.70947037
20,2379.2321777343745,4834.214013671875,-1117.6661374433334
21,2259.337443033854,4642.914221191406,-1145.9977664633336
22,2450.67578125,4969.665972900391,-1184.0268528099998
23,2554.5240885416665,5104.980124918619,-1137.3470806966666
